Club ID,Club,Terminal ID,Terminal Priority,Club's Players,Clubs' Rounds,Terminal's Players,Terminal's Rounds,Terminal Type,Ownership Type,Operating System,Modem Type,Mobile Number,Connectivity Type,Card Reader Type,Date of First Use,Terminal Distribution Date,Current Date,Terminal Age,Monthly Working Days,Estimated Online Hours (10hr/day),Actual Offline Hours (10hr/day),Total Offline Hours (10hr/day),Terminal Priority Weight,Club Priority Weight,Terminal Priority Rank,Club Priority Rank
19,KYALAMI COUNTRY CLUB,5300000045,100,463,25161,498,2562,Mecer X22S,Club,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,11.08.2017,11.08.2017,13.01.2021,3 year(s) 5 month(s),366,3660,815.14,815.14,0%,0%,67,64
20,LEEUWKOP GOLF CLUB,5300000654,50,48,913,98,358,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,13.12.2019,13.12.2019,13.01.2021,1 year(s) 1 month(s),314,3140,2499.96,2909.63,0%,0%,294,266
21,MACCAUVLEI,5300000008,100,410,14450,313,1672,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,N/A,N/A,Club Internet,Gigatek MSR250HK,27.01.2020,26.06.2020,13.01.2021,0 year(s) 11 month(s),314,3140,1163.73,1367.4,0%,0%,114,103
22,MEYERTON GOLF CLUB,5300000592,100,296,3734,207,1216,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,28.02.2017,28.02.2017,13.01.2021,3 year(s) 10 month(s),366,3660,2572.21,2572.21,0%,0%,166,148
23,MODDERFONTEIN GOLF CLUB,5300000010,100,577,18217,354,2025,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,22.12.2016,14.10.2020,13.01.2021,4 year(s) 0 month(s),314,3140,1502.27,1762.93,0%,0%,79,75
24,OBSERVATORY GOLF CLUB,5300000229,100,2037,7762,194,886,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Gigatek MSR250HK,24.10.2016,07.10.2020,13.01.2021,4 year(s) 2 month(s),366,3660,1888.96,1888.96,0%,0%,36,36
25,PARKVIEW GOLF CLUB,5300000125,100,678,27645,333,2314,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,07.07.2016,12.02.2020,13.01.2021,4 year(s) 6 month(s),314,3140,159.81,196.3,0%,0%,50,47
27,RANDPARK GOLF CLUB,5300000339,50,2092,55028,594,3177,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,26.03.2019,26.03.2019,13.01.2021,1 year(s) 9 month(s),366,3660,2800.6,2800.6,0.01%,0.02%,4,2
27,RANDPARK GOLF CLUB,5300000393,50,2092,55028,6,11,Club Machine,Club,64 bit Windows 10 Pro,None,N/A,Club Internet,Unknown,01.07.2010,01.07.2010,13.01.2021,10 year(s) 6 month(s),366,3660,3621.79,3621.79,0.01%,0.02%,3,2
28,READING COUNTRY CLUB,5300000011,100,504,22048,357,1882,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,29.01.2019,29.01.2019,13.01.2021,1 year(s) 11 month(s),314,3140,954.03,1113.92,0%,0%,75,72
29,RIVIERA ON VAAL COUNTRY CLUB,5300000303,100,233,6636,223,1517,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,28.06.2016,26.11.2018,13.01.2021,4 year(s) 6 month(s),366,3660,1173.29,1173.29,0%,0%,186,169
30,RUIMSIG COUNTRY CLUB,5300000343,50,711,26755,171,767,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,17.12.2019,17.12.2019,13.01.2021,1 year(s) 0 month(s),314,3140,1481.82,1756.52,0%,0.01%,40,11
30,RUIMSIG COUNTRY CLUB,5300000595,50,711,26755,1002,6546,DELL 3050,Club,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250Hk,10.07.2019,10.07.2019,13.01.2021,1 year(s) 6 month(s),314,3140,852.67,1104.3,0%,0.01%,46,11
31,ROYAL J & K Golf Club,5300000399,50,1103,37014,274,719,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,01.08.2016,15.01.2020,13.01.2021,4 year(s) 5 month(s),366,3660,3027.94,3027.94,0.01%,0.01%,11,7
31,ROYAL J & K Golf Club,5300000688,50,1103,37014,381,1471,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,15.08.2016,15.08.2016,13.01.2021,4 year(s) 4 month(s),366,3660,2889.26,2889.26,0.01%,0.01%,13,7
32,SOUTHDOWNS COUNTRY CLUB,5300000064,100,700,14639,287,1993,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,25.07.2016,10.03.2020,13.01.2021,4 year(s) 5 month(s),314,3140,692.57,797.28,0%,0%,98,90
33,SOWETO COUNTRY CLUB,5300000359,100,146,1517,145,990,HP EliteOne 800,HNA,64 bit Windows 10 Pro,Vodafone K3565 Rev 2,726238490,Vodacom,Gigatek MSR250HK,08.01.2020,08.01.2020,13.01.2021,1 year(s) 0 month(s),104,1040,607.91,2340.37,0%,0%,367,337
34,THE RIVER CLUB,5300000280,100,492,9382,300,2198,HP Compaq Elite 8300 ,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,12.11.2019,26.06.2020,13.01.2021,1 year(s) 2 month(s),314,3140,1828.29,2162.29,0%,0%,122,110
35,WANDERERS GOLF CLUB,5300000054,33,573,18664,269,1042,MSI 1941,HNA,Windows 7,None,N/A,Club Internet,Gigatek MSR250HK,04.12.2019,04.12.2019,13.01.2021,1 year(s) 1 month(s),366,3660,1827.06,1827.06,0%,0%,73,71
37,Eye of Africa Golf Club,5300000554,100,156,11464,450,1381,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,01.09.2016,01.09.2016,13.01.2021,4 year(s) 4 month(s),366,3660,489.25,489.25,0%,0%,173,155
39,AVION PARK GOLF CLUB,5300000320,100,217,2702,210,1972,Mecer X22S,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,28.09.2017,04.05.2018,13.01.2021,3 year(s) 3 month(s),314,3140,1237.68,1439.56,0%,0%,285,257
41,BENONI COUNTRY CLUB,5300000013,100,690,20959,539,3188,Mecer X22S,HNA,64 bit Windows 10 Home,Vodafone K3565 Rev 2,726230746,Vodacom,Magtek 21040108,24.08.2016,14.12.2018,13.01.2021,4 year(s) 4 month(s),366,3660,1571.76,1571.76,0%,0%,57,54
42,BENONI LAKE GOLF CLUB,5300000014,100,637,15613,491,2977,MSI AP190,HNA,64 bit Windows 8.1,None,N/A,Club Internet,Magtek 21040108,23.03.2015,23.03.2015,13.01.2021,5 year(s) 9 month(s),366,3660,926.89,926.89,0%,0.01%,95,19
42,BENONI LAKE GOLF CLUB,5300000735,100,637,15613,131,295,Dell 3050,Club,64 bit Windows 10 Pro,N/A,N/A,Club Internet,Gigatek MSR250HK,27.08.2019,27.08.2019,13.01.2021,1 year(s) 4 month(s),366,3660,2424.9,2424.9,0%,0.01%,74,19
43,DAVEYTON GOLF CLUB,5300000015,100,60,6,5,18,MSI Windtop 1941,HNA,32 bit Windows 7 Home Basic SP1,Vodafone K3772,726237232,Vodacom,Champtek MR800,21.10.2013,29.08.2016,13.01.2021,7 year(s) 2 month(s),104,1040,790.85,2784.35,0%,0%,410,380
44,DELMAS GOLF CLUB,5300000107,100,85,638,59,255,Mecer X22S,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,17.08.2016,21.01.2020,13.01.2021,4 year(s) 4 month(s),262,2620,2215.65,3062.84,0%,0%,307,278
46,ERPM GOLF CLUB,5300000557,100,433,14366,451,2973,Lenovo M810Z,HNA,64 bit Windows 10 Home ,None,N/A,Club Internet,Gigatek MSR250HK,12.07.2019,12.07.2019,13.01.2021,1 year(s) 6 month(s),366,3660,38.8,38.8,0%,0%,135,123
47,HEIDELBERG GOLF CLUB,5300000200,100,220,2578,192,2387,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,12.08.2016,09.10.2019,13.01.2021,4 year(s) 5 month(s),366,3660,1595.46,1595.46,0%,0%,259,232
49,KEMPTON PARK GOLF CLUB,5300000016,100,636,11682,390,3209,Dell 3050,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,07.01.2020,07.01.2020,13.01.2021,1 year(s) 0 month(s),314,3140,1153.79,1338.3,0%,0%,112,101
50,NIGEL GOLF CLUB,5300000344,50,152,3539,217,5582,MSI AP190,HNA,32 bit Windows 8.1 Embedded,N/A,N/A,Club Internet,Magtek 21040108,08.04.2015,22.09.2020,13.01.2021,5 year(s) 9 month(s),314,3140,1096.75,1397.68,0%,0%,299,271
51,POLLAK PARK GOLF CLUB,5300000017,50,419,9691,302,1270,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Gigatek MSR250HK,30.01.2017,29.01.2019,13.01.2021,3 year(s) 11 month(s),314,3140,2302.34,2805.97,0%,0.01%,117,30
51,POLLAK PARK GOLF CLUB,5300000591,50,419,9691,193,761,MSI Windtop 1920,Club,32 bit Windows 7 Home Premium SP1,None,N/A,Club Internet,Magtek 21040108,01.07.2010,01.07.2010,13.01.2021,10 year(s) 6 month(s),366,3660,2489.19,2489.19,0%,0.01%,115,30
52,ROYAL OAK COUNTRY CLUB,5300000018,100,225,8483,332,1860,MSI AP190,HNA,64 bit Windows 8.1,None,N/A,Club Internet,Magtek 21040108,08.06.2015,23.03.2020,13.01.2021,5 year(s) 7 month(s),366,3660,1509.61,1509.61,0%,0%,162,144
53,SAPS MECH GOLF CLUB,5300000360,100,188,1410,108,1555,Mecer X22S,HNA,64 bit Windows 10 Home,Vodafone K3565 Rev 2,726236384,Vodacom,Magtek 21040108,22.03.2018,09.01.2020,13.01.2021,2 year(s) 9 month(s),104,1040,356.73,1563.29,0%,0%,373,343
54,SERENGETI GOLF CLUB,5300000520,50,328,15206,505,1456,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,08.03.2016,23.03.2020,13.01.2021,4 year(s) 10 month(s),366,3660,2254.01,2254.01,0%,0%,99,91
55,STATE MINES COUNTRY CLUB,5300000019,100,392,11292,463,2338,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,14.08.2019,14.08.2019,13.01.2021,1 year(s) 4 month(s),366,3660,1251.79,1251.79,0%,0%,132,120
56,AKASIA GOLF CLUB,5300000313,100,2002,16246,291,2203,MECER X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,12.09.2017,12.09.2017,13.01.2021,3 year(s) 4 month(s),366,3660,460.67,460.67,0.01%,0.01%,26,28
57,AMANDELBULT GOLF CLUB,5300000556,100,196,1161,140,2005,Mecer X22S,HNA,64 bit Windows 10 Home,MTN E153,083 676 2298 ,MTN,Magtek 21040108,28.07.2017,28.07.2017,13.01.2021,3 year(s) 5 month(s),366,3660,759.72,759.72,0%,0%,353,323
58,BLUE VALLEY GOLF ESTATE,5300000262,100,168,11288,208,628,Mecer X22S T+,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,31.10.2019,31.10.2019,13.01.2021,1 year(s) 2 month(s),366,3660,2802.52,2802.52,0%,0%,121,109
59,BRONKHORSTSPRUIT GOLF CLUB,5300000315,100,621,8872,376,1579,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Magtek 21040108,18.03.2019,18.03.2019,13.01.2021,1 year(s) 9 month(s),366,3660,883.85,883.85,0%,0%,134,122
60,CENTURION COUNTRY CLUB,5300000103,100,607,23736,179,518,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Gigatek MSR250HK,07.07.2016,07.07.2016,13.01.2021,4 year(s) 6 month(s),366,3660,2943.88,2943.88,0%,0%,41,38
61,CULLINAN GOLF CLUB,5300000326,100,301,7079,260,1146,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,10.06.2016,02.10.2019,13.01.2021,4 year(s) 7 month(s),314,3140,1210,1413.5,0%,0%,172,154
62,THE ELS CLUB-Copperleaf,5300000110,100,354,19401,344,1088,MSI 1941,HNA,Windows 7,None,N/A,Club Internet,Champtek,01.01.2015,01.01.2015,13.01.2021,6 year(s) 0 month(s),314,3140,913.7,1087.7,0%,0%,97,89
63,HILLSIDE GOLF CLUB,5300000072,100,309,110,4,17,Mecer X22S,HNA,64 bit Windows 10 Home,Vodafone K3772 - Z,726237103,Vodacom,Partner MSR213U,29.09.2016,25.06.2020,13.01.2021,4 year(s) 3 month(s),366,3660,3457.5,3457.5,0%,0%,168,150
64,IRENE COUNTRY CLUB,5300000329,100,754,20971,461,1950,MSI AP190,HNA,64 bit Windows 8.1,None,N/A,Club Internet,Champtek MR800,23.10.2015,23.10.2015,13.01.2021,5 year(s) 2 month(s),366,3660,944.91,944.91,0%,0%,63,60
65,MAGALIESPARK COUNTRY CLUB,5300000220,100,1114,16370,679,1925,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,11.08.2016,21.01.2020,13.01.2021,4 year(s) 5 month(s),366,3660,1321.69,1321.69,0%,0%,52,49
66,PEBBLE ROCK COUNTRY CLUB,5300000289,100,498,9426,230,645,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,29.09.2016,29.09.2016,13.01.2021,4 year(s) 3 month(s),366,3660,1265.74,1265.74,0%,0%,136,124
67,PECANWOOD GOLF & CC,5300000275,100,612,18387,418,1142,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,17.01.2020,17.01.2020,13.01.2021,0 year(s) 11 month(s),314,3140,980.01,1168.84,0%,0%,83,77
68,PRETORIA COUNTRY CLUB,5300000129,50,1026,23714,99,281,Mecer X22S,Club,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,06.09.2017,06.09.2017,13.01.2021,3 year(s) 4 month(s),314,3140,2307.7,2687.36,0.01%,0.01%,31,10
68,PRETORIA COUNTRY CLUB,5300000559,50,1026,23714,583,2114,Dell 3050,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Magtek 21040108,10.09.2019,10.09.2019,13.01.2021,1 year(s) 4 month(s),262,2620,1130.06,1578.37,0%,0.01%,39,10
69,PRETORIA GOLF CLUB,5300000130,100,460,9741,208,823,Mecer X22S,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,13.02.2018,07.05.2019,13.01.2021,2 year(s) 11 month(s),366,3660,1188.63,1188.63,0%,0%,143,128
71,SANDONIA GOLF CLUB,5300000276,100,57,745,24,214,MSI Windtop 1941,HNA,32 bit Windows 7 Home Basic SP1,Vodafone K3565 Rev 2,726238622,Vodacom,Champtek MR800,25.07.2014,27.09.2016,13.01.2021,6 year(s) 5 month(s),104,1040,894,3459.66,0%,0%,388,358
72,SANDY LANE GOLF CLUB,5300000277,100,204,4461,307,1441,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,17.11.2017,14.07.2020,13.01.2021,3 year(s) 1 month(s),53,530,411.99,2866.83,0%,0%,309,280
73,SEASONS ECO GOLF ESTATE,5300000297,100,334,5491,594,3521,HP Compaq Elite 8300,HNA,64 bit Windows 10 Pro,N/A,N/A,Club Internet,Partner MSR213U,25.02.2020,25.02.2020,13.01.2021,0 year(s) 10 month(s),366,3660,1077.4,1077.4,0%,0%,184,167
74,SERVICES GOLF CLUB,5300000234,34,908,16154,790,3278,Dell 3050,HNA,64 bit Windows 10 Pro,N/A,N/A,Club Internet,Gigatek MSR250HK,07.08.2020,07.08.2020,13.01.2021,0 year(s) 5 month(s),366,3660,1879.61,1879.61,0%,0%,61,58
75,SILVER LAKES GOLF & WILDLIFE ESTATE,5300000636,100,729,24525,219,1149,Dell 3050,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,07.10.2019,07.10.2019,13.01.2021,1 year(s) 3 month(s),366,3660,1779.52,1779.52,0%,0%,43,41
76,THABAZIMBI GOLF CLUB,5300000239,100,164,2904,291,4031,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,19.07.2017,05.08.2020,13.01.2021,3 year(s) 5 month(s),366,3660,1150.24,1150.24,0%,0%,304,275
77,WATERKLOOF GOLF CLUB,5300000532,100,680,24740,409,1409,Lenovo M810Z,HNA,64 bit Windows 10 Pro,None,N/A,Club Internet,Gigatek MSR250HK,15.08.2019,15.08.2019,13.01.2021,1 year(s) 4 month(s),366,3660,2814.36,2814.36,0%,0%,38,37
78,WINGATE PARK COUNTRY CLUB,5300000089,100,1419,33533,368,1473,MSI AP190,HNA,64 bit Windows 8.1,None,N/A,Club Internet,Magtek 21040108,13.03.2015,13.03.2015,13.01.2021,5 year(s) 10 month(s),366,3660,1907.37,1907.37,0.01%,0.01%,16,20
79,WOODHILL COUNTRY CLUB,5300000483,100,682,23851,464,2048,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,13.01.2017,06.02.2020,13.01.2021,4 year(s) 0 month(s),366,3660,394.57,394.57,0%,0%,62,59
80,ZWARTKOP COUNTRY CLUB,5300000247,50,904,26082,187,568,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,14.06.2016,25.05.2017,13.01.2021,4 year(s) 6 month(s),366,3660,2988.58,2988.58,0.01%,0.01%,25,27
81,CALVINIA GOLF CLUB,5300000602,100,52,631,53,191,Mecer X22S,HNA,64 bit Windows 10 Home,N/A,N/A,Club Internet,Magtek 21040108,26.10.2016,07.05.2019,13.01.2021,4 year(s) 2 month(s),366,3660,3234.61,3234.61,0%,0%,234,211
82,CARNARVON GOLF CLUB,5300000726,100,41,476,25,401,Mecer X22S,Club,64 bit Windows 10 Home ,N/A,N/A,Club Internet,Gigatek MSR250HK,21.01.2019,21.01.2019,13.01.2021,1 year(s) 11 month(s),366,3660,2178.46,2178.46,0%,0%,327,298
83,COLESBERG GOLF CLUB,5300000180,100,53,658,42,736,Mecer X22S,HNA,64 bit Windows 10 Home,Vodafone K3565 Rev 2,726237406,Vodacom,Partner MSR213U,21.07.2016,10.04.2019,13.01.2021,4 year(s) 5 month(s),105,1050,532.03,1875.32,0%,0%,417,386
84,DE AAR GOLF CLUB,5300000182,100,43,566,13,60,Mecer X22S,HNA,64 bit Windows 10 Home,Vodafone K3565 Rev 2,726237912,Vodacom,Magtek 21040108,29.06.2016,19.09.2019,13.01.2021,4 year(s) 6 month(s),105,1050,692.53,2313.04,0%,0%,411,381
85,DOUGLAS GOLF CLUB,5300000437,100,85,2533,54,381,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,28.10.2016,08.11.2017,13.01.2021,4 year(s) 2 month(s),0,0,0,2071.23,0%,0%,402,372
87,HOPETOWN GOLF CLUB,5300000731,100,56,102,1,3,MSI AP190,HNA,64 bit Windows 8.1,N/A,N/A,Club Internet,Magtek 21040108,30.03.2015,06.04.2019,13.01.2021,5 year(s) 9 month(s),366,3660,3640.07,3640.07,0%,0%,214,194
95,UPINGTON GOLF CLUB,5300000385,100,109,3271,57,526,MSI AP190,,64 bit Windows 8.1,Vodafone K3565 Rev 2,726238535,Vodacom,Champtek MR800,19.11.2015,19.11.2015,13.01.2021,5 year(s) 1 month(s),105,1050,781.49,2858.67,0%,0%,339,310
96,VICTORIA-WES GOLF CLUB,5300000242,100,47,75,12,45,MSI AP190,HNA,64 bit Windows 8.1,Vodafone K3565 Rev 2,726237581,Vodacom,Magtek 21040108,22.04.2015,12.02.2018,13.01.2021,5 year(s) 8 month(s),52,520,427.61,3086.72,0%,0%,433,402
97,WILLISTON GOLF CLUB,5300000021,100,29,185,12,269,MSI Windtop 1941,HNA,32 bit Windows 7 Home Basic SP1,Vodafone K3565 Rev 2,726230891,Vodacom,Magtek 21040108,19.12.2013,29.01.2018,13.01.2021,7 year(s) 0 month(s),52,520,323.26,2672.6,0%,0%,439,408
101,BADPLAAS GOLF CLUB,5300000095,100,45,493,93,591,MSI Windtop 1941,HNA,32bit Windows 7 Home Basic SP1,None,N/A,Club Internet,Gigatek MSR250HK,01.10.2014,07.09.2018,13.01.2021,6 year(s) 3 month(s),366,3660,1319.53,1319.53,0%,0%,375,345
103,BARBERTON GOLF CLUB,5300000420,100,104,2028,148,2333,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Magtek 21040108,27.07.2016,24.10.2017,13.01.2021,4 year(s) 5 month(s),314,3140,1130.31,1502.01,0%,0%,342,313
105,BETHAL GOLF CLUB,5300000419,100,115,1268,150,983,Mecer X22S,HNA,64 bit Windows 10 Home,Vodafone K3565 Rev 2,726263572,Vodacom,Magtek 21040108,07.03.2017,10.10.2017,13.01.2021,3 year(s) 10 month(s),0,0,0,2360.02,0%,0%,420,389
107,CHROME GOLF CLUB,5300000179,100,114,780,108,1077,Mecer X22S,Club,64 bit Windows 10 Home,None,N/A,Club Internet,Gigatek MSR250HK,07.09.2018,07.09.2018,13.01.2021,2 year(s) 4 month(s),0,0,0,898.12,0%,0%,427,396
108,ERMELO GOLF CLUB,5300000613,100,224,3086,172,1610,Mecer X22S,HNA,64 bit Windows 10 Home,None,N/A,Club Internet,Partner MSR213U,21.09.2016,16.09.2020,13.01.2021,4 year(s) 3 month(s),0,0,0,1377.87,0%,0%,354,324
